onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.106	0.25	Control	1.0	0.0	Yes	2.944	0.006	n/a	GoodResponse	0	n/a	n/a	0	0	Cue	Neutral	True
11.356	3.85	Control	1.0	0.0	Yes	2.944	0.0	n/a	GoodResponse	0	n/a	n/a	0	0	Fixation	Neutral	True
15.218	0.4	Control	1.0	0.0	Yes	2.944	0.012	4.0	GoodResponse	0	0.215	14.433	0	0	Target	Neutral	True
15.433	0.3	Control	1.0	0.0	Yes	2.944	0.012	4.0	GoodResponse	0	0.215	n/a	0	0	ButtonPress	Neutral	True
15.602	0.3	Control	1.0	n/a	Yes	2.944	n/a	n/a	GoodResponse	0	n/a	n/a	0	0	Blank	Neutral	True
15.903	1.45	Control	1.0	n/a	Yes	2.944	n/a	5.0	GoodResponse	0	0.026	14.929	0	0	Feedback	Neutral	True
17.358	2.944	Control	1.0	n/a	Yes	2.944	n/a	n/a	GoodResponse	0	0.0	n/a	0	0	ISIslide	Neutral	True
20.317	0.25	Lose2	1.0	0.0	Yes	2.783	0.017	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	True
20.567	4.0	Lose2	1.0	0.0	Yes	2.783	0.0	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	True
24.563	0.39	Lose2	1.0	0.004	Yes	2.783	-0.004	4.0	GoodResponse	0	0.213	23.776	0	1	Target	AvoidedLoss	True
24.776	0.3	Lose2	1.0	0.004	Yes	2.783	-0.004	4.0	GoodResponse	0	0.213	n/a	0	1	ButtonPress	AvoidedLoss	True
24.964	0.31	Lose2	1.0	n/a	Yes	2.783	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	True
25.265	1.45	Lose2	1.0	n/a	Yes	2.783	n/a	5.0	GoodResponse	0	0.03	24.295	0	1	Feedback	AvoidedLoss	True
26.719	2.783	Lose2	1.0	n/a	Yes	2.783	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	True
29.527	0.25	Control	0.6667000000000001	0.0	No	2.573	0.027	n/a	NoResponse	0	n/a	n/a	0	2	Cue	Neutral	True
29.778	4.1	Control	0.6667000000000001	0.0	No	2.573	0.001	n/a	NoResponse	0	n/a	n/a	0	2	Fixation	Neutral	True
33.874	0.38	Control	0.6667000000000001	0.003	No	2.573	-0.003	4.0	NoResponse	0	0.469	33.343	0	2	Target	Neutral	True
34.258	0.32	Control	0.6667000000000001	n/a	No	2.573	n/a	n/a	NoResponse	0	n/a	n/a	0	2	Blank	Neutral	True
34.343	0.3	Control	0.6667000000000001	0.003	No	2.573	-0.003	4.0	NoResponse	0	0.469	n/a	0	2	ButtonPress	Neutral	True
34.576	1.45	Control	0.6667000000000001	n/a	No	2.573	n/a	5.0	NoResponse	0	0.036	33.612	0	2	Feedback	Neutral	True
36.03	2.573	Control	0.6667000000000001	n/a	No	2.573	n/a	n/a	NoResponse	0	0.0	n/a	0	2	ISIslide	Neutral	True
38.621	0.25	Win2	0.75	0.0	Yes	2.829	0.021	n/a	GoodResponse	1	n/a	n/a	1	3	Cue	Win	True
38.872	3.95	Win2	0.75	0.0	Yes	2.829	0.001	n/a	GoodResponse	1	n/a	n/a	1	3	Fixation	Win	True
42.817	0.37	Win2	0.75	0.004	Yes	2.829	-0.004	4.0	GoodResponse	1	0.284	42.101	1	3	Target	Win	True
43.101	0.3	Win2	0.75	0.004	Yes	2.829	-0.004	4.0	GoodResponse	1	0.284	n/a	1	3	ButtonPress	Win	True
43.202	0.33	Win2	0.75	n/a	Yes	2.829	n/a	n/a	GoodResponse	1	n/a	n/a	1	3	Blank	Win	True
43.519	1.45	Win2	0.75	n/a	Yes	2.829	n/a	5.0	GoodResponse	1	0.02	42.539	1	3	Feedback	Win	True
44.974	2.829	Win2	0.75	n/a	Yes	2.829	n/a	n/a	GoodResponse	1	0.0	n/a	1	3	ISIslide	Win	True
47.815	0.25	Win2	0.8	0.001	Yes	3.285	0.015	n/a	GoodResponse	1	n/a	n/a	2	4	Cue	Win	True
48.066	4.0	Win2	0.8	0.0	Yes	3.285	0.001	n/a	GoodResponse	1	n/a	n/a	2	4	Fixation	Win	True
52.062	0.36	Win2	0.8	0.003	Yes	3.285	-0.003	4.0	GoodResponse	1	0.203	51.265	2	4	Target	Win	True
52.265	0.3	Win2	0.8	0.003	Yes	3.285	-0.003	4.0	GoodResponse	1	0.203	n/a	2	4	ButtonPress	Win	True
52.429	0.34	Win2	0.8	n/a	Yes	3.285	n/a	n/a	GoodResponse	1	n/a	n/a	2	4	Blank	Win	True
52.764	1.45	Win2	0.8	n/a	Yes	3.285	n/a	5.0	GoodResponse	1	0.043	51.807	2	4	Feedback	Win	True
54.218	3.285	Win2	0.8	n/a	Yes	3.285	n/a	n/a	GoodResponse	1	0.0	n/a	2	4	ISIslide	Win	True
57.528	0.25	Win2	0.6667000000000001	0.0	No	2.772	0.028	n/a	NoResponse	0	n/a	n/a	2	5	Cue	MissedWin	True
57.779	4.0	Win2	0.6667000000000001	0.0	No	2.772	0.001	n/a	NoResponse	0	n/a	n/a	2	5	Fixation	MissedWin	True
61.774	0.35	Win2	0.6667000000000001	0.004	No	2.772	-0.004	4.0	NoResponse	0	0.361	61.135	2	5	Target	MissedWin	True
62.125	0.35	Win2	0.6667000000000001	n/a	No	2.772	n/a	n/a	NoResponse	0	n/a	n/a	2	5	Blank	MissedWin	True
62.135	0.3	Win2	0.6667000000000001	0.004	No	2.772	-0.004	4.0	NoResponse	0	0.361	n/a	2	5	ButtonPress	MissedWin	True
62.476	1.45	Win2	0.6667000000000001	n/a	No	2.772	n/a	5.0	NoResponse	0	0.038	61.514	2	5	Feedback	MissedWin	True
63.93	2.772	Win2	0.6667000000000001	n/a	No	2.772	n/a	n/a	NoResponse	0	0.0	n/a	2	5	ISIslide	MissedWin	True
66.722	0.25	Lose2	0.7143	0.0	Yes	2.728	0.022	n/a	GoodResponse	0	n/a	n/a	2	6	Cue	AvoidedLoss	True
66.973	3.95	Lose2	0.7143	0.0	Yes	2.728	0.001	n/a	GoodResponse	0	n/a	n/a	2	6	Fixation	AvoidedLoss	True
70.918	0.34	Lose2	0.7143	0.004	Yes	2.728	-0.004	4.0	GoodResponse	0	0.227	70.145	2	6	Target	AvoidedLoss	True
71.145	0.3	Lose2	0.7143	0.004	Yes	2.728	-0.004	4.0	GoodResponse	0	0.227	n/a	2	6	ButtonPress	AvoidedLoss	True
71.269	0.36	Lose2	0.7143	n/a	Yes	2.728	n/a	n/a	GoodResponse	0	n/a	n/a	2	6	Blank	AvoidedLoss	True
71.62	1.45	Lose2	0.7143	n/a	Yes	2.728	n/a	5.0	GoodResponse	0	0.017	70.637	2	6	Feedback	AvoidedLoss	True
73.074	2.728	Lose2	0.7143	n/a	Yes	2.728	n/a	n/a	GoodResponse	0	0.0	n/a	2	6	ISIslide	AvoidedLoss	True
75.816	0.25	Lose2	0.75	0.0	Yes	4.034	0.016	n/a	GoodResponse	0	n/a	n/a	2	7	Cue	AvoidedLoss	False
76.067	4.05	Lose2	0.75	0.0	Yes	4.034	0.001	4.0	GoodResponse	0	1.828	76.895	2	7	Fixation	AvoidedLoss	False
77.895	0.3	Lose2	0.75	0.0	Yes	4.034	0.001	4.0	GoodResponse	0	1.828	n/a	2	7	ButtonPress	AvoidedLoss	False
80.112	0.33	Lose2	0.75	0.004	Yes	4.034	-0.004	4.0	GoodResponse	0	0.173	79.285	2	7	Target	AvoidedLoss	False
80.285	0.3	Lose2	0.75	0.004	Yes	4.034	-0.004	4.0	GoodResponse	0	0.173	n/a	2	7	ButtonPress	AvoidedLoss	False
80.446	0.37	Lose2	0.75	n/a	Yes	4.034	n/a	n/a	GoodResponse	0	n/a	n/a	2	7	Blank	AvoidedLoss	False
80.814	1.45	Lose2	0.75	n/a	Yes	4.034	n/a	5.0	GoodResponse	0	0.041	79.855	2	7	Feedback	AvoidedLoss	False
82.269	4.034	Lose2	0.75	n/a	Yes	4.034	n/a	n/a	GoodResponse	0	0.0	n/a	2	7	ISIslide	AvoidedLoss	False
86.331	0.25	Lose2	0.7778	0.0	Yes	3.019	0.031	n/a	GoodResponse	0	n/a	n/a	2	8	Cue	AvoidedLoss	True
86.582	3.95	Lose2	0.7778	0.0	Yes	3.019	0.001	n/a	GoodResponse	0	n/a	n/a	2	8	Fixation	AvoidedLoss	True
90.527	0.32	Lose2	0.7778	0.004	Yes	3.019	-0.004	4.0	GoodResponse	0	0.267	89.794	2	8	Target	AvoidedLoss	True
90.794	0.3	Lose2	0.7778	0.004	Yes	3.019	-0.004	4.0	GoodResponse	0	0.267	n/a	2	8	ButtonPress	AvoidedLoss	True
90.861	0.38	Lose2	0.7778	n/a	Yes	3.019	n/a	n/a	GoodResponse	0	n/a	n/a	2	8	Blank	AvoidedLoss	True
91.229	1.45	Lose2	0.7778	n/a	Yes	3.019	n/a	5.0	GoodResponse	0	0.016	90.245	2	8	Feedback	AvoidedLoss	True
92.683	3.019	Lose2	0.7778	n/a	Yes	3.019	n/a	n/a	GoodResponse	0	0.0	n/a	2	8	ISIslide	AvoidedLoss	True
95.726	0.25	Lose2	0.7	0.0	No	3.124	0.026	n/a	NoResponse	-1	n/a	n/a	1	9	Cue	Loss	True
95.976	3.95	Lose2	0.7	0.0	No	3.124	0.0	n/a	NoResponse	-1	n/a	n/a	1	9	Fixation	Loss	True
99.938	0.31	Lose2	0.7	0.0	No	3.124	0.012	4.0	NoResponse	-1	0.382	99.32	1	9	Target	Loss	True
100.239	0.39	Lose2	0.7	n/a	No	3.124	n/a	n/a	NoResponse	-1	n/a	n/a	1	9	Blank	Loss	True
100.32	0.3	Lose2	0.7	0.0	No	3.124	0.012	4.0	NoResponse	-1	0.382	n/a	1	9	ButtonPress	Loss	True
100.624	1.45	Lose2	0.7	n/a	No	3.124	n/a	5.0	NoResponse	-1	0.036	99.66	1	9	Feedback	Loss	True
102.078	3.124	Lose2	0.7	n/a	No	3.124	n/a	n/a	NoResponse	-1	0.0	n/a	1	9	ISIslide	Loss	True
105.221	0.25	Control	0.6364	0.0	No	3.279	0.021	n/a	NoResponse	0	n/a	n/a	1	10	Cue	Neutral	True
105.471	4.0	Control	0.6364	0.0	No	3.279	0.0	n/a	NoResponse	0	n/a	n/a	1	10	Fixation	Neutral	True
109.467	0.3	Control	0.6364	0.004	No	3.279	-0.004	4.0	NoResponse	0	0.571	109.038	1	10	Target	Neutral	True
109.768	0.4	Control	0.6364	n/a	No	3.279	n/a	n/a	NoResponse	0	n/a	n/a	1	10	Blank	Neutral	True
110.038	0.3	Control	0.6364	0.004	No	3.279	-0.004	4.0	NoResponse	0	0.571	n/a	1	10	ButtonPress	Neutral	True
110.169	1.45	Control	0.6364	n/a	No	3.279	n/a	5.0	NoResponse	0	0.007	109.176	1	10	Feedback	Neutral	True
111.623	3.279	Control	0.6364	n/a	No	3.279	n/a	n/a	NoResponse	0	0.0	n/a	1	10	ISIslide	Neutral	True
114.916	0.25	Lose2	0.6667000000000001	0.0	Yes	2.734	0.016	n/a	GoodResponse	0	n/a	n/a	1	11	Cue	AvoidedLoss	True
115.167	4.05	Lose2	0.6667000000000001	0.0	Yes	2.734	0.001	n/a	GoodResponse	0	n/a	n/a	1	11	Fixation	AvoidedLoss	True
119.213	0.31	Lose2	0.6667000000000001	0.003	Yes	2.734	-0.003	4.0	GoodResponse	0	0.285	118.498	1	11	Target	AvoidedLoss	True
119.498	0.3	Lose2	0.6667000000000001	0.003	Yes	2.734	-0.003	4.0	GoodResponse	0	0.285	n/a	1	11	ButtonPress	AvoidedLoss	True
119.53	0.39	Lose2	0.6667000000000001	n/a	Yes	2.734	n/a	n/a	GoodResponse	0	n/a	n/a	1	11	Blank	AvoidedLoss	True
119.915	1.45	Lose2	0.6667000000000001	n/a	Yes	2.734	n/a	5.0	GoodResponse	0	0.014	118.929	1	11	Feedback	AvoidedLoss	True
121.369	2.734	Lose2	0.6667000000000001	n/a	Yes	2.734	n/a	n/a	GoodResponse	0	0.0	n/a	1	11	ISIslide	AvoidedLoss	True
124.127	0.25	Control	0.6923	0.0	Yes	2.973	0.027	n/a	GoodResponse	0	n/a	n/a	1	12	Cue	Neutral	True
124.378	3.9	Control	0.6923	0.0	Yes	2.973	0.001	n/a	GoodResponse	0	n/a	n/a	1	12	Fixation	Neutral	True
128.273	0.3	Control	0.6923	0.004	Yes	2.973	-0.004	4.0	GoodResponse	0	0.227	127.5	1	12	Target	Neutral	True
128.5	0.3	Control	0.6923	0.004	Yes	2.973	-0.004	4.0	GoodResponse	0	0.227	n/a	1	12	ButtonPress	Neutral	True
128.574	0.4	Control	0.6923	n/a	Yes	2.973	n/a	n/a	GoodResponse	0	n/a	n/a	1	12	Blank	Neutral	True
128.975	1.45	Control	0.6923	n/a	Yes	2.973	n/a	5.0	GoodResponse	0	0.027	128.002	1	12	Feedback	Neutral	True
