onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.106	0.25	Control	1.0	0.0	Yes	2.944	0.006	n/a	GoodResponse	0	n/a	n/a	0	0	Cue	Neutral	False
11.357	3.85	Control	1.0	0.0	Yes	2.944	0.001	2.0	GoodResponse	0	0.801	11.158	0	0	Fixation	Neutral	False
12.158	0.3	Control	1.0	0.0	Yes	2.944	0.001	2.0	GoodResponse	0	0.801	n/a	0	0	ButtonPress	Neutral	False
15.202	0.4	Control	1.0	0.004	Yes	2.944	-0.004	2.0	GoodResponse	0	0.281	14.483	0	0	Target	Neutral	False
15.483	0.3	Control	1.0	0.004	Yes	2.944	-0.004	2.0	GoodResponse	0	0.281	n/a	0	0	ButtonPress	Neutral	False
15.603	0.3	Control	1.0	n/a	Yes	2.944	n/a	n/a	GoodResponse	0	n/a	n/a	0	0	Blank	Neutral	False
15.904	1.45	Control	1.0	n/a	Yes	2.944	n/a	5.0	GoodResponse	0	0.021	14.925	0	0	Feedback	Neutral	False
17.358	2.944	Control	1.0	n/a	Yes	2.944	n/a	n/a	GoodResponse	0	0.0	n/a	0	0	ISIslide	Neutral	False
20.317	0.25	Lose2	1.0	0.0	Yes	2.783	0.017	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	True
20.568	4.0	Lose2	1.0	0.0	Yes	2.783	0.001	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	True
24.563	0.39	Lose2	1.0	0.004	Yes	2.783	-0.004	2.0	GoodResponse	0	0.236	23.799	0	1	Target	AvoidedLoss	True
24.799	0.3	Lose2	1.0	0.004	Yes	2.783	-0.004	2.0	GoodResponse	0	0.236	n/a	0	1	ButtonPress	AvoidedLoss	True
24.964	0.31	Lose2	1.0	n/a	Yes	2.783	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	True
25.265	1.45	Lose2	1.0	n/a	Yes	2.783	n/a	5.0	GoodResponse	0	0.026	24.291	0	1	Feedback	AvoidedLoss	True
26.719	2.783	Lose2	1.0	n/a	Yes	2.783	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	True
29.528	0.25	Control	1.0	0.0	Yes	2.572	0.028	n/a	GoodResponse	0	n/a	n/a	0	2	Cue	Neutral	True
29.778	4.1	Control	1.0	0.0	Yes	2.572	0.0	n/a	GoodResponse	0	n/a	n/a	0	2	Fixation	Neutral	True
33.874	0.38	Control	1.0	0.004	Yes	2.572	-0.004	2.0	GoodResponse	0	0.243	33.117	0	2	Target	Neutral	True
34.117	0.3	Control	1.0	0.004	Yes	2.572	-0.004	2.0	GoodResponse	0	0.243	n/a	0	2	ButtonPress	Neutral	True
34.258	0.32	Control	1.0	n/a	Yes	2.572	n/a	n/a	GoodResponse	0	n/a	n/a	0	2	Blank	Neutral	True
34.576	1.45	Control	1.0	n/a	Yes	2.572	n/a	5.0	GoodResponse	0	0.032	33.608	0	2	Feedback	Neutral	True
36.03	2.572	Control	1.0	n/a	Yes	2.572	n/a	n/a	GoodResponse	0	0.0	n/a	0	2	ISIslide	Neutral	True
