onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.108	0.25	Control	1.0	0.0	Yes	2.942	0.008	n/a	GoodResponse	0	n/a	n/a	0	0	Cue	Neutral	True
11.357	3.85	Control	1.0	0.001	Yes	2.942	-0.001	n/a	GoodResponse	0	n/a	n/a	0	0	Fixation	Neutral	True
15.206	0.4	Control	1.0	0.002	Yes	2.942	-0.002	2.0	GoodResponse	0	0.268	14.474	0	0	Target	Neutral	True
15.474	0.3	Control	1.0	0.002	Yes	2.942	-0.002	2.0	GoodResponse	0	0.268	n/a	0	0	ButtonPress	Neutral	True
15.606	0.3	Control	1.0	n/a	Yes	2.942	n/a	n/a	GoodResponse	0	n/a	n/a	0	0	Blank	Neutral	True
15.906	1.45	Control	1.0	n/a	Yes	2.942	n/a	5.0	GoodResponse	0	0.022	14.928	0	0	Feedback	Neutral	True
17.355	2.942	Control	1.0	n/a	Yes	2.942	n/a	n/a	GoodResponse	0	0.0	n/a	0	0	ISIslide	Neutral	True
20.388	0.25	Lose2	1.0	0.0	Yes	2.712	0.088	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	True
20.638	4.0	Lose2	1.0	0.0	Yes	2.712	0.0	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	True
24.636	0.39	Lose2	1.0	0.002	Yes	2.712	-0.002	2.0	GoodResponse	0	0.257	23.893	0	1	Target	AvoidedLoss	True
24.893	0.3	Lose2	1.0	0.002	Yes	2.712	-0.002	2.0	GoodResponse	0	0.257	n/a	0	1	ButtonPress	AvoidedLoss	True
25.036	0.31	Lose2	1.0	n/a	Yes	2.712	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	True
25.336	1.45	Lose2	1.0	n/a	Yes	2.712	n/a	5.0	GoodResponse	0	0.007	24.343	0	1	Feedback	AvoidedLoss	True
26.785	2.712	Lose2	1.0	n/a	Yes	2.712	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	True
29.518	0.25	Control	1.0	0.0	Yes	2.582	0.018	n/a	GoodResponse	0	n/a	n/a	0	2	Cue	Neutral	True
29.768	4.1	Control	1.0	0.0	Yes	2.582	0.0	n/a	GoodResponse	0	n/a	n/a	0	2	Fixation	Neutral	True
33.866	0.38	Control	1.0	0.002	Yes	2.582	-0.002	2.0	GoodResponse	0	0.3	33.166	0	2	Target	Neutral	True
34.166	0.3	Control	1.0	0.002	Yes	2.582	-0.002	2.0	GoodResponse	0	0.3	n/a	0	2	ButtonPress	Neutral	True
34.249	0.32	Control	1.0	n/a	Yes	2.582	n/a	n/a	GoodResponse	0	n/a	n/a	0	2	Blank	Neutral	True
34.566	1.45	Control	1.0	n/a	Yes	2.582	n/a	5.0	GoodResponse	0	0.045	33.611	0	2	Feedback	Neutral	True
36.015	2.582	Control	1.0	n/a	Yes	2.582	n/a	n/a	GoodResponse	0	0.0	n/a	0	2	ISIslide	Neutral	True
38.681	0.25	Win2	1.0	0.0	Yes	2.769	0.081	n/a	GoodResponse	1	n/a	n/a	1	3	Cue	Win	True
38.931	3.95	Win2	1.0	0.0	Yes	2.769	0.0	n/a	GoodResponse	1	n/a	n/a	1	3	Fixation	Win	True
42.88	0.37	Win2	1.0	0.001	Yes	2.769	-0.001	2.0	GoodResponse	1	0.24	42.12	1	3	Target	Win	True
43.12	0.3	Win2	1.0	0.001	Yes	2.769	-0.001	2.0	GoodResponse	1	0.24	n/a	1	3	ButtonPress	Win	True
43.263	0.33	Win2	1.0	n/a	Yes	2.769	n/a	n/a	GoodResponse	1	n/a	n/a	1	3	Blank	Win	True
43.579	1.45	Win2	1.0	n/a	Yes	2.769	n/a	5.0	GoodResponse	1	0.008	42.587	1	3	Feedback	Win	True
45.029	2.769	Win2	1.0	n/a	Yes	2.769	n/a	n/a	GoodResponse	1	0.0	n/a	1	3	ISIslide	Win	True
47.828	0.25	Win2	1.0	0.0	Yes	3.272	0.028	n/a	GoodResponse	1	n/a	n/a	2	4	Cue	Win	True
48.078	4.0	Win2	1.0	0.0	Yes	3.272	0.0	n/a	GoodResponse	1	n/a	n/a	2	4	Fixation	Win	True
52.076	0.36	Win2	1.0	0.002	Yes	3.272	-0.002	2.0	GoodResponse	1	0.297	51.373	2	4	Target	Win	True
52.373	0.3	Win2	1.0	0.002	Yes	3.272	-0.002	2.0	GoodResponse	1	0.297	n/a	2	4	ButtonPress	Win	True
52.443	0.34	Win2	1.0	n/a	Yes	3.272	n/a	n/a	GoodResponse	1	n/a	n/a	2	4	Blank	Win	True
52.776	1.45	Win2	1.0	n/a	Yes	3.272	n/a	5.0	GoodResponse	1	0.029	51.805	2	4	Feedback	Win	True
54.226	3.272	Win2	1.0	n/a	Yes	3.272	n/a	n/a	GoodResponse	1	0.0	n/a	2	4	ISIslide	Win	True
57.525	0.25	Win2	1.0	0.0	Yes	2.775	0.025	n/a	GoodResponse	1	n/a	n/a	3	5	Cue	Win	True
57.774	4.0	Win2	1.0	0.001	Yes	2.775	-0.001	n/a	GoodResponse	1	n/a	n/a	3	5	Fixation	Win	True
61.773	0.35	Win2	1.0	0.002	Yes	2.775	-0.002	2.0	GoodResponse	1	0.316	61.089	3	5	Target	Win	True
62.089	0.3	Win2	1.0	0.002	Yes	2.775	-0.002	2.0	GoodResponse	1	0.316	n/a	3	5	ButtonPress	Win	True
62.123	0.35	Win2	1.0	n/a	Yes	2.775	n/a	n/a	GoodResponse	1	n/a	n/a	3	5	Blank	Win	True
62.473	1.45	Win2	1.0	n/a	Yes	2.775	n/a	5.0	GoodResponse	1	0.04	61.513	3	5	Feedback	Win	True
63.922	2.775	Win2	1.0	n/a	Yes	2.775	n/a	n/a	GoodResponse	1	0.0	n/a	3	5	ISIslide	Win	True
66.721	0.25	Lose2	1.0	0.0	Yes	2.729	0.021	n/a	GoodResponse	0	n/a	n/a	3	6	Cue	AvoidedLoss	True
66.971	3.95	Lose2	1.0	0.0	Yes	2.729	0.0	n/a	GoodResponse	0	n/a	n/a	3	6	Fixation	AvoidedLoss	True
70.92	0.34	Lose2	1.0	0.001	Yes	2.729	-0.001	2.0	GoodResponse	0	0.274	70.194	3	6	Target	AvoidedLoss	True
71.194	0.3	Lose2	1.0	0.001	Yes	2.729	-0.001	2.0	GoodResponse	0	0.274	n/a	3	6	ButtonPress	AvoidedLoss	True
71.27	0.36	Lose2	1.0	n/a	Yes	2.729	n/a	n/a	GoodResponse	0	n/a	n/a	3	6	Blank	AvoidedLoss	True
71.62	1.45	Lose2	1.0	n/a	Yes	2.729	n/a	5.0	GoodResponse	0	0.015	70.635	3	6	Feedback	AvoidedLoss	True
73.069	2.729	Lose2	1.0	n/a	Yes	2.729	n/a	n/a	GoodResponse	0	0.0	n/a	3	6	ISIslide	AvoidedLoss	True
75.818	0.25	Lose2	1.0	0.0	Yes	4.032	0.018	n/a	GoodResponse	0	n/a	n/a	3	7	Cue	AvoidedLoss	True
76.068	4.05	Lose2	1.0	0.0	Yes	4.032	0.0	n/a	GoodResponse	0	n/a	n/a	3	7	Fixation	AvoidedLoss	True
80.117	0.33	Lose2	1.0	0.001	Yes	4.032	-0.001	2.0	GoodResponse	0	0.329	79.446	3	7	Target	AvoidedLoss	True
80.446	0.3	Lose2	1.0	0.001	Yes	4.032	-0.001	2.0	GoodResponse	0	0.329	n/a	3	7	ButtonPress	AvoidedLoss	True
80.45	0.37	Lose2	1.0	n/a	Yes	4.032	n/a	n/a	GoodResponse	0	n/a	n/a	3	7	Blank	AvoidedLoss	True
80.816	1.45	Lose2	1.0	n/a	Yes	4.032	n/a	5.0	GoodResponse	0	0.039	79.855	3	7	Feedback	AvoidedLoss	True
82.266	4.032	Lose2	1.0	n/a	Yes	4.032	n/a	n/a	GoodResponse	0	0.0	n/a	3	7	ISIslide	AvoidedLoss	True
86.331	0.25	Lose2	1.0	0.0	Yes	3.019	0.031	n/a	GoodResponse	0	n/a	n/a	3	8	Cue	AvoidedLoss	True
86.581	3.95	Lose2	1.0	0.0	Yes	3.019	0.0	n/a	GoodResponse	0	n/a	n/a	3	8	Fixation	AvoidedLoss	True
90.53	0.32	Lose2	1.0	0.001	Yes	3.019	-0.001	2.0	GoodResponse	0	0.287	89.817	3	8	Target	AvoidedLoss	True
90.817	0.3	Lose2	1.0	0.001	Yes	3.019	-0.001	2.0	GoodResponse	0	0.287	n/a	3	8	ButtonPress	AvoidedLoss	True
