onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.111	0.25	Control	0.0	0.0	No	2.939	0.011	n/a	NoResponse	0	n/a	n/a	0	0	Cue	Neutral	True
11.362	3.85	Control	0.0	0.0	No	2.939	0.001	n/a	NoResponse	0	n/a	n/a	0	0	Fixation	Neutral	True
15.223	0.4	Control	0.0	0.0	No	2.939	0.012	4.0	NoResponse	0	0.399	14.622	0	0	Target	Neutral	True
15.608	0.3	Control	0.0	n/a	No	2.939	n/a	n/a	NoResponse	0	n/a	n/a	0	0	Blank	Neutral	True
15.622	0.3	Control	0.0	0.0	No	2.939	0.012	4.0	NoResponse	0	0.399	n/a	0	0	ButtonPress	Neutral	True
15.908	1.45	Control	0.0	n/a	No	2.939	n/a	5.0	NoResponse	0	1.094	16.002	0	0	Feedback	Neutral	True
17.363	2.939	Control	0.0	n/a	No	2.939	n/a	4.0	NoResponse	0	0.638	n/a	0	0	ISIslide	Neutral	True
20.305	0.25	Lose2	0.5	0.0	Yes	2.795	0.005	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	True
20.556	4.0	Lose2	0.5	0.0	Yes	2.795	0.001	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	True
24.551	0.41	Lose2	0.5	0.004	Yes	2.795	-0.004	4.0	GoodResponse	0	0.294	23.845	0	1	Target	AvoidedLoss	True
24.845	0.3	Lose2	0.5	0.004	Yes	2.795	-0.004	4.0	GoodResponse	0	0.294	n/a	0	1	ButtonPress	AvoidedLoss	True
24.969	0.29	Lose2	0.5	n/a	Yes	2.795	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	True
25.253	1.45	Lose2	0.5	n/a	Yes	2.795	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Feedback	AvoidedLoss	True
26.707	2.795	Lose2	0.5	n/a	Yes	2.795	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	True
29.516	0.25	Control	0.6667000000000001	0.0	Yes	2.584	0.016	n/a	GoodResponse	0	n/a	n/a	0	2	Cue	Neutral	True
29.767	4.1	Control	0.6667000000000001	0.0	Yes	2.584	0.001	n/a	GoodResponse	0	n/a	n/a	0	2	Fixation	Neutral	True
33.862	0.42	Control	0.6667000000000001	0.004	Yes	2.584	-0.004	4.0	GoodResponse	0	0.295	33.157	0	2	Target	Neutral	True
34.157	0.3	Control	0.6667000000000001	0.004	Yes	2.584	-0.004	4.0	GoodResponse	0	0.295	n/a	0	2	ButtonPress	Neutral	True
34.297	0.28	Control	0.6667000000000001	n/a	Yes	2.584	n/a	n/a	GoodResponse	0	n/a	n/a	0	2	Blank	Neutral	True
34.564	1.45	Control	0.6667000000000001	n/a	Yes	2.584	n/a	5.0	GoodResponse	0	0.438	34.002	0	2	Feedback	Neutral	True
36.019	2.584	Control	0.6667000000000001	n/a	Yes	2.584	n/a	n/a	GoodResponse	0	0.0	n/a	0	2	ISIslide	Neutral	True
38.626	0.25	Win2	0.75	0.0	Yes	2.824	0.026	n/a	GoodResponse	1	n/a	n/a	1	3	Cue	Win	True
38.877	3.95	Win2	0.75	0.0	Yes	2.824	0.001	n/a	GoodResponse	1	n/a	n/a	1	3	Fixation	Win	True
42.822	0.41	Win2	0.75	0.004	Yes	2.824	-0.004	4.0	GoodResponse	1	0.289	42.111	1	3	Target	Win	True
43.111	0.3	Win2	0.75	0.004	Yes	2.824	-0.004	4.0	GoodResponse	1	0.289	n/a	1	3	ButtonPress	Win	True
43.24	0.29	Win2	0.75	n/a	Yes	2.824	n/a	n/a	GoodResponse	1	n/a	n/a	1	3	Blank	Win	True
43.524	1.45	Win2	0.75	n/a	Yes	2.824	n/a	n/a	GoodResponse	1	n/a	n/a	1	3	Feedback	Win	True
44.979	2.824	Win2	0.75	n/a	Yes	2.824	n/a	n/a	GoodResponse	1	0.0	n/a	1	3	ISIslide	Win	True
47.82	0.25	Win2	0.8	0.0	Yes	3.28	0.02	n/a	GoodResponse	1	n/a	n/a	2	4	Cue	Win	True
48.071	4.0	Win2	0.8	0.0	Yes	3.28	0.001	n/a	GoodResponse	1	n/a	n/a	2	4	Fixation	Win	True
52.066	0.4	Win2	0.8	0.004	Yes	3.28	-0.004	4.0	GoodResponse	1	0.261	51.327	2	4	Target	Win	True
52.327	0.3	Win2	0.8	0.004	Yes	3.28	-0.004	4.0	GoodResponse	1	0.261	n/a	2	4	ButtonPress	Win	True
52.468	0.3	Win2	0.8	n/a	Yes	3.28	n/a	n/a	GoodResponse	1	n/a	n/a	2	4	Blank	Win	True
52.769	1.45	Win2	0.8	n/a	Yes	3.28	n/a	5.0	GoodResponse	1	0.232	52.001	2	4	Feedback	Win	True
54.223	3.28	Win2	0.8	n/a	Yes	3.28	n/a	n/a	GoodResponse	1	0.0	n/a	2	4	ISIslide	Win	True
57.516	0.25	Win2	0.8332999999999999	0.0	Yes	2.784	0.016	n/a	GoodResponse	1	n/a	n/a	3	5	Cue	Win	True
57.767	4.0	Win2	0.8332999999999999	0.0	Yes	2.784	0.001	n/a	GoodResponse	1	n/a	n/a	3	5	Fixation	Win	True
61.762	0.39	Win2	0.8332999999999999	0.004	Yes	2.784	-0.004	4.0	GoodResponse	1	0.245	61.007	3	5	Target	Win	True
62.007	0.3	Win2	0.8332999999999999	0.004	Yes	2.784	-0.004	4.0	GoodResponse	1	0.245	n/a	3	5	ButtonPress	Win	True
62.163	0.31	Win2	0.8332999999999999	n/a	Yes	2.784	n/a	n/a	GoodResponse	1	n/a	n/a	3	5	Blank	Win	True
62.464	1.45	Win2	0.8332999999999999	n/a	Yes	2.784	n/a	5.0	GoodResponse	1	0.538	62.002	3	5	Feedback	Win	True
63.918	2.784	Win2	0.8332999999999999	n/a	Yes	2.784	n/a	n/a	GoodResponse	1	0.0	n/a	3	5	ISIslide	Win	True
66.727	0.25	Lose2	0.8571	0.0	Yes	2.723	0.027	n/a	GoodResponse	0	n/a	n/a	3	6	Cue	AvoidedLoss	True
66.978	3.95	Lose2	0.8571	0.0	Yes	2.723	0.001	n/a	GoodResponse	0	n/a	n/a	3	6	Fixation	AvoidedLoss	True
70.923	0.38	Lose2	0.8571	0.004	Yes	2.723	-0.004	4.0	GoodResponse	0	0.222	70.145	3	6	Target	AvoidedLoss	True
71.145	0.3	Lose2	0.8571	0.004	Yes	2.723	-0.004	4.0	GoodResponse	0	0.222	n/a	3	6	ButtonPress	AvoidedLoss	True
71.307	0.32	Lose2	0.8571	n/a	Yes	2.723	n/a	n/a	GoodResponse	0	n/a	n/a	3	6	Blank	AvoidedLoss	True
71.625	1.45	Lose2	0.8571	n/a	Yes	2.723	n/a	5.0	GoodResponse	0	1.377	72.002	3	6	Feedback	AvoidedLoss	True
73.079	2.723	Lose2	0.8571	n/a	Yes	2.723	n/a	n/a	GoodResponse	0	0.0	n/a	3	6	ISIslide	AvoidedLoss	True
75.821	0.25	Lose2	0.875	0.0	Yes	4.029	0.021	n/a	GoodResponse	0	n/a	n/a	3	7	Cue	AvoidedLoss	True
76.071	4.05	Lose2	0.875	0.001	Yes	4.029	0.0	n/a	GoodResponse	0	n/a	n/a	3	7	Fixation	AvoidedLoss	True
80.117	0.37	Lose2	0.875	0.004	Yes	4.029	-0.004	4.0	GoodResponse	0	0.228	79.345	3	7	Target	AvoidedLoss	True
80.345	0.3	Lose2	0.875	0.004	Yes	4.029	-0.004	4.0	GoodResponse	0	0.228	n/a	3	7	ButtonPress	AvoidedLoss	True
80.501	0.33	Lose2	0.875	n/a	Yes	4.029	n/a	n/a	GoodResponse	0	n/a	n/a	3	7	Blank	AvoidedLoss	True
80.819	1.45	Lose2	0.875	n/a	Yes	4.029	n/a	5.0	GoodResponse	0	0.183	80.002	3	7	Feedback	AvoidedLoss	True
82.273	4.029	Lose2	0.875	n/a	Yes	4.029	n/a	n/a	GoodResponse	0	0.0	n/a	3	7	ISIslide	AvoidedLoss	True
86.319	0.25	Lose2	0.8889	0.0	Yes	3.031	0.019	n/a	GoodResponse	0	n/a	n/a	3	8	Cue	AvoidedLoss	True
86.569	3.95	Lose2	0.8889	0.001	Yes	3.031	0.0	n/a	GoodResponse	0	n/a	n/a	3	8	Fixation	AvoidedLoss	True
90.515	0.36	Lose2	0.8889	0.004	Yes	3.031	-0.004	4.0	GoodResponse	0	0.348	89.863	3	8	Target	AvoidedLoss	True
