onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.1	0.25	Control	0.0	0.0	No	2.95	0.0	n/a	NoResponse	0	n/a	n/a	0	0	Cue	Neutral	False
11.35	3.85	Control	0.0	0.0	No	2.95	0.0	4.0	NoResponse	0	1.289	11.639	0	0	Fixation	Neutral	False
12.639	0.3	Control	0.0	0.0	No	2.95	0.0	4.0	NoResponse	0	1.289	n/a	0	0	ButtonPress	Neutral	False
15.212	0.4	Control	0.0	0.0	No	2.95	0.012	4.0	NoResponse	0	0.541	14.753	0	0	Target	Neutral	False
15.596	0.3	Control	0.0	n/a	No	2.95	n/a	n/a	NoResponse	0	n/a	n/a	0	0	Blank	Neutral	False
15.753	0.3	Control	0.0	0.0	No	2.95	0.012	4.0	NoResponse	0	0.541	n/a	0	0	ButtonPress	Neutral	False
15.897	1.45	Control	0.0	n/a	No	2.95	n/a	5.0	NoResponse	0	0.03	14.927	0	0	Feedback	Neutral	False
17.352	2.95	Control	0.0	n/a	No	2.95	n/a	n/a	NoResponse	0	0.0	n/a	0	0	ISIslide	Neutral	False
20.327	0.25	Lose2	0.5	0.0	Yes	2.773	0.027	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	True
20.578	4.0	Lose2	0.5	0.0	Yes	2.773	0.001	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	True
24.573	0.41	Lose2	0.5	0.004	Yes	2.773	-0.004	4.0	GoodResponse	0	0.256	23.829	0	1	Target	AvoidedLoss	True
24.829	0.3	Lose2	0.5	0.004	Yes	2.773	-0.004	4.0	GoodResponse	0	0.256	n/a	0	1	ButtonPress	AvoidedLoss	True
24.991	0.29	Lose2	0.5	n/a	Yes	2.773	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	True
25.275	1.45	Lose2	0.5	n/a	Yes	2.773	n/a	5.0	GoodResponse	0	0.018	24.293	0	1	Feedback	AvoidedLoss	True
26.73	2.773	Lose2	0.5	n/a	Yes	2.773	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	True
29.521	0.25	Control	0.6667000000000001	0.0	Yes	2.579	0.021	n/a	GoodResponse	0	n/a	n/a	0	2	Cue	Neutral	True
29.772	4.1	Control	0.6667000000000001	0.0	Yes	2.579	0.001	n/a	GoodResponse	0	n/a	n/a	0	2	Fixation	Neutral	True
33.868	0.42	Control	0.6667000000000001	0.003	Yes	2.579	-0.003	4.0	GoodResponse	0	0.287	33.155	0	2	Target	Neutral	True
34.155	0.3	Control	0.6667000000000001	0.003	Yes	2.579	-0.003	4.0	GoodResponse	0	0.287	n/a	0	2	ButtonPress	Neutral	True
34.302	0.28	Control	0.6667000000000001	n/a	Yes	2.579	n/a	n/a	GoodResponse	0	n/a	n/a	0	2	Blank	Neutral	True
34.57	1.45	Control	0.6667000000000001	n/a	Yes	2.579	n/a	5.0	GoodResponse	0	0.04	33.61	0	2	Feedback	Neutral	True
36.024	2.579	Control	0.6667000000000001	n/a	Yes	2.579	n/a	n/a	GoodResponse	0	0.0	n/a	0	2	ISIslide	Neutral	True
38.632	0.25	Win2	0.75	0.0	Yes	2.818	0.032	n/a	GoodResponse	1	n/a	n/a	1	3	Cue	Win	True
38.883	3.95	Win2	0.75	0.0	Yes	2.818	0.001	n/a	GoodResponse	1	n/a	n/a	1	3	Fixation	Win	True
42.828	0.41	Win2	0.75	0.004	Yes	2.818	-0.004	4.0	GoodResponse	1	0.268	42.096	1	3	Target	Win	True
43.096	0.3	Win2	0.75	0.004	Yes	2.818	-0.004	4.0	GoodResponse	1	0.268	n/a	1	3	ButtonPress	Win	True
43.246	0.29	Win2	0.75	n/a	Yes	2.818	n/a	n/a	GoodResponse	1	n/a	n/a	1	3	Blank	Win	True
43.53	1.45	Win2	0.75	n/a	Yes	2.818	n/a	5.0	GoodResponse	1	0.007	42.537	1	3	Feedback	Win	True
44.984	2.818	Win2	0.75	n/a	Yes	2.818	n/a	n/a	GoodResponse	1	0.0	n/a	1	3	ISIslide	Win	True
47.826	0.25	Win2	0.8	0.0	Yes	3.274	0.026	n/a	GoodResponse	1	n/a	n/a	2	4	Cue	Win	True
48.077	4.0	Win2	0.8	0.0	Yes	3.274	0.001	n/a	GoodResponse	1	n/a	n/a	2	4	Fixation	Win	True
52.072	0.4	Win2	0.8	0.004	Yes	3.274	-0.004	4.0	GoodResponse	1	0.274	51.346	2	4	Target	Win	True
52.346	0.3	Win2	0.8	0.004	Yes	3.274	-0.004	4.0	GoodResponse	1	0.274	n/a	2	4	ButtonPress	Win	True
52.473	0.3	Win2	0.8	n/a	Yes	3.274	n/a	n/a	GoodResponse	1	n/a	n/a	2	4	Blank	Win	True
52.774	1.45	Win2	0.8	n/a	Yes	3.274	n/a	5.0	GoodResponse	1	0.03	51.804	2	4	Feedback	Win	True
54.229	3.274	Win2	0.8	n/a	Yes	3.274	n/a	n/a	GoodResponse	1	0.0	n/a	2	4	ISIslide	Win	True
57.522	0.25	Win2	0.8332999999999999	0.0	Yes	2.778	0.022	n/a	GoodResponse	1	n/a	n/a	3	5	Cue	Win	True
57.773	4.0	Win2	0.8332999999999999	0.0	Yes	2.778	0.001	n/a	GoodResponse	1	n/a	n/a	3	5	Fixation	Win	True
61.768	0.39	Win2	0.8332999999999999	0.004	Yes	2.778	-0.004	4.0	GoodResponse	1	0.237	61.005	3	5	Target	Win	True
62.005	0.3	Win2	0.8332999999999999	0.004	Yes	2.778	-0.004	4.0	GoodResponse	1	0.237	n/a	3	5	ButtonPress	Win	True
62.169	0.31	Win2	0.8332999999999999	n/a	Yes	2.778	n/a	n/a	GoodResponse	1	n/a	n/a	3	5	Blank	Win	True
62.47	1.45	Win2	0.8332999999999999	n/a	Yes	2.778	n/a	5.0	GoodResponse	1	0.042	61.512	3	5	Feedback	Win	True
63.924	2.778	Win2	0.8332999999999999	n/a	Yes	2.778	n/a	n/a	GoodResponse	1	0.0	n/a	3	5	ISIslide	Win	True
66.716	0.25	Lose2	0.8571	0.0	Yes	2.734	0.016	n/a	GoodResponse	0	n/a	n/a	3	6	Cue	AvoidedLoss	True
66.967	3.95	Lose2	0.8571	0.0	Yes	2.734	0.001	n/a	GoodResponse	0	n/a	n/a	3	6	Fixation	AvoidedLoss	True
70.912	0.38	Lose2	0.8571	0.004	Yes	2.734	-0.004	4.0	GoodResponse	0	0.324	70.236	3	6	Target	AvoidedLoss	True
71.236	0.3	Lose2	0.8571	0.004	Yes	2.734	-0.004	4.0	GoodResponse	0	0.324	n/a	3	6	ButtonPress	AvoidedLoss	True
