onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.103	0.25	Control	1.0	0.0	Yes	2.947	0.003	n/a	GoodResponse	0	n/a	n/a	0	0	Cue	Neutral	False
11.354	3.85	Control	1.0	0.0	Yes	2.947	0.001	2.0	GoodResponse	0	0.357	10.711	0	0	Fixation	Neutral	False
11.711	0.3	Control	1.0	0.0	Yes	2.947	0.001	2.0	GoodResponse	0	0.357	n/a	0	0	ButtonPress	Neutral	False
15.215	0.4	Control	1.0	0.0	Yes	2.947	0.012	2.0	GoodResponse	0	0.273	14.488	0	0	Target	Neutral	False
15.488	0.3	Control	1.0	0.0	Yes	2.947	0.012	2.0	GoodResponse	0	0.273	n/a	0	0	ButtonPress	Neutral	False
15.6	0.3	Control	1.0	n/a	Yes	2.947	n/a	n/a	GoodResponse	0	n/a	n/a	0	0	Blank	Neutral	False
15.901	1.45	Control	1.0	n/a	Yes	2.947	n/a	5.0	GoodResponse	0	0.024	14.925	0	0	Feedback	Neutral	False
17.355	2.947	Control	1.0	n/a	Yes	2.947	n/a	2.0	GoodResponse	0	0.052	n/a	0	0	ISIslide	Neutral	False
20.297	0.25	Lose2	1.0	0.0	Yes	2.803	-0.003	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	True
20.548	4.0	Lose2	1.0	0.0	Yes	2.803	0.001	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	True
24.543	0.39	Lose2	1.0	0.004	Yes	2.803	-0.004	2.0	GoodResponse	0	0.191	23.734	0	1	Target	AvoidedLoss	True
24.734	0.3	Lose2	1.0	0.004	Yes	2.803	-0.004	2.0	GoodResponse	0	0.191	n/a	0	1	ButtonPress	AvoidedLoss	True
24.944	0.31	Lose2	1.0	n/a	Yes	2.803	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	True
25.245	1.45	Lose2	1.0	n/a	Yes	2.803	n/a	5.0	GoodResponse	0	0.046	24.291	0	1	Feedback	AvoidedLoss	True
26.699	2.803	Lose2	1.0	n/a	Yes	2.803	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	True
29.525	0.25	Control	0.6667000000000001	0.0	No	2.575	0.025	n/a	NoResponse	0	n/a	n/a	0	2	Cue	Neutral	False
