onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.096	0.25	Control	1.0	0.0	Yes	2.954	-0.004	n/a	GoodResponse	0	n/a	n/a	0	0	Cue	Neutral	True
11.346	3.85	Control	1.0	0.0	Yes	2.954	0.0	n/a	GoodResponse	0	n/a	n/a	0	0	Fixation	Neutral	True
15.194	0.4	Control	1.0	0.002	Yes	2.954	-0.002	1.0	GoodResponse	0	0.293	14.487	0	0	Target	Neutral	True
15.487	0.3	Control	1.0	0.002	Yes	2.954	-0.002	1.0	GoodResponse	0	0.293	n/a	0	0	ButtonPress	Neutral	True
15.594	0.3	Control	1.0	n/a	Yes	2.954	n/a	n/a	GoodResponse	0	n/a	n/a	0	0	Blank	Neutral	True
15.894	1.45	Control	1.0	n/a	Yes	2.954	n/a	5.0	GoodResponse	0	0.033	14.927	0	0	Feedback	Neutral	True
17.344	2.954	Control	1.0	n/a	Yes	2.954	n/a	n/a	GoodResponse	0	0.0	n/a	0	0	ISIslide	Neutral	True
20.326	0.25	Lose2	1.0	0.0	Yes	2.774	0.026	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	True
20.576	4.0	Lose2	1.0	0.0	Yes	2.774	0.0	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	True
24.574	0.39	Lose2	1.0	0.002	Yes	2.774	-0.002	1.0	GoodResponse	0	0.342	23.916	0	1	Target	AvoidedLoss	True
24.916	0.3	Lose2	1.0	0.002	Yes	2.774	-0.002	1.0	GoodResponse	0	0.342	n/a	0	1	ButtonPress	AvoidedLoss	True
24.974	0.31	Lose2	1.0	n/a	Yes	2.774	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	True
25.274	1.45	Lose2	1.0	n/a	Yes	2.774	n/a	5.0	GoodResponse	0	0.019	24.293	0	1	Feedback	AvoidedLoss	True
26.724	2.774	Lose2	1.0	n/a	Yes	2.774	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	True
29.523	0.25	Control	1.0	0.0	Yes	2.577	0.023	n/a	GoodResponse	0	n/a	n/a	0	2	Cue	Neutral	True
29.773	4.1	Control	1.0	0.0	Yes	2.577	0.0	n/a	GoodResponse	0	n/a	n/a	0	2	Fixation	Neutral	True
33.871	0.38	Control	1.0	0.002	Yes	2.577	-0.002	1.0	GoodResponse	0	0.258	33.129	0	2	Target	Neutral	True
34.129	0.3	Control	1.0	0.002	Yes	2.577	-0.002	1.0	GoodResponse	0	0.258	n/a	0	2	ButtonPress	Neutral	True
34.254	0.32	Control	1.0	n/a	Yes	2.577	n/a	n/a	GoodResponse	0	n/a	n/a	0	2	Blank	Neutral	True
34.571	1.45	Control	1.0	n/a	Yes	2.577	n/a	5.0	GoodResponse	0	0.038	33.609	0	2	Feedback	Neutral	True
36.02	2.577	Control	1.0	n/a	Yes	2.577	n/a	n/a	GoodResponse	0	0.0	n/a	0	2	ISIslide	Neutral	True
38.619	0.25	Win2	1.0	0.001	Yes	2.831	0.019	n/a	GoodResponse	1	n/a	n/a	1	3	Cue	Win	True
38.869	3.95	Win2	1.0	0.0	Yes	2.831	0.0	n/a	GoodResponse	1	n/a	n/a	1	3	Fixation	Win	True
42.818	0.37	Win2	1.0	0.001	Yes	2.831	-0.001	1.0	GoodResponse	1	0.263	42.081	1	3	Target	Win	True
43.081	0.3	Win2	1.0	0.001	Yes	2.831	-0.001	1.0	GoodResponse	1	0.263	n/a	1	3	ButtonPress	Win	True
43.185	0.33	Win2	1.0	n/a	Yes	2.831	n/a	n/a	GoodResponse	1	n/a	n/a	1	3	Blank	Win	True
43.518	1.45	Win2	1.0	n/a	Yes	2.831	n/a	5.0	GoodResponse	1	0.018	42.536	1	3	Feedback	Win	True
44.967	2.831	Win2	1.0	n/a	Yes	2.831	n/a	n/a	GoodResponse	1	0.0	n/a	1	3	ISIslide	Win	True
47.816	0.25	Win2	1.0	0.0	Yes	3.284	0.016	n/a	GoodResponse	1	n/a	n/a	2	4	Cue	Win	True
48.066	4.0	Win2	1.0	0.0	Yes	3.284	0.0	n/a	GoodResponse	1	n/a	n/a	2	4	Fixation	Win	True
52.065	0.36	Win2	1.0	0.001	Yes	3.284	-0.001	1.0	GoodResponse	1	0.324	51.389	2	4	Target	Win	True
52.389	0.3	Win2	1.0	0.001	Yes	3.284	-0.001	1.0	GoodResponse	1	0.324	n/a	2	4	ButtonPress	Win	True
52.431	0.34	Win2	1.0	n/a	Yes	3.284	n/a	n/a	GoodResponse	1	n/a	n/a	2	4	Blank	Win	True
52.764	1.45	Win2	1.0	n/a	Yes	3.284	n/a	5.0	GoodResponse	1	0.04	51.804	2	4	Feedback	Win	True
54.214	3.284	Win2	1.0	n/a	Yes	3.284	n/a	n/a	GoodResponse	1	0.0	n/a	2	4	ISIslide	Win	True
57.513	0.25	Win2	1.0	0.0	Yes	2.787	0.013	n/a	GoodResponse	1	n/a	n/a	3	5	Cue	Win	True
