onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
11.097	0.25	Control	1.0	0.0	Yes	2.953	-0.003	n/a	GoodResponse	0	n/a	n/a	0	0	Cue	Neutral	True
11.348	3.85	Control	1.0	0.0	Yes	2.953	0.001	n/a	GoodResponse	0	n/a	n/a	0	0	Fixation	Neutral	True
15.193	0.4	Control	1.0	0.004	Yes	2.953	-0.004	3.0	GoodResponse	0	0.26	14.453	0	0	Target	Neutral	True
15.453	0.3	Control	1.0	0.004	Yes	2.953	-0.004	3.0	GoodResponse	0	0.26	n/a	0	0	ButtonPress	Neutral	True
15.594	0.3	Control	1.0	n/a	Yes	2.953	n/a	n/a	GoodResponse	0	n/a	n/a	0	0	Blank	Neutral	True
15.895	1.45	Control	1.0	n/a	Yes	2.953	n/a	5.0	GoodResponse	0	0.042	14.937	0	0	Feedback	Neutral	True
17.349	2.953	Control	1.0	n/a	Yes	2.953	n/a	n/a	GoodResponse	0	0.0	n/a	0	0	ISIslide	Neutral	True
20.325	0.25	Lose2	1.0	0.0	Yes	2.775	0.025	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	True
20.576	4.0	Lose2	1.0	0.0	Yes	2.775	0.001	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	True
24.571	0.39	Lose2	1.0	0.004	Yes	2.775	-0.004	3.0	GoodResponse	0	0.247	23.818	0	1	Target	AvoidedLoss	True
24.818	0.3	Lose2	1.0	0.004	Yes	2.775	-0.004	3.0	GoodResponse	0	0.247	n/a	0	1	ButtonPress	AvoidedLoss	True
24.972	0.31	Lose2	1.0	n/a	Yes	2.775	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	True
25.273	1.45	Lose2	1.0	n/a	Yes	2.775	n/a	5.0	GoodResponse	0	0.04	24.313	0	1	Feedback	AvoidedLoss	True
26.727	2.775	Lose2	1.0	n/a	Yes	2.775	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	True
29.519	0.25	Control	1.0	0.0	Yes	2.581	0.019	n/a	GoodResponse	0	n/a	n/a	0	2	Cue	Neutral	True
29.77	4.1	Control	1.0	0.0	Yes	2.581	0.001	n/a	GoodResponse	0	n/a	n/a	0	2	Fixation	Neutral	True
33.865	0.38	Control	1.0	0.004	Yes	2.581	-0.004	3.0	GoodResponse	0	0.211	33.076	0	2	Target	Neutral	True
34.076	0.3	Control	1.0	0.004	Yes	2.581	-0.004	3.0	GoodResponse	0	0.211	n/a	0	2	ButtonPress	Neutral	True
34.25	0.32	Control	1.0	n/a	Yes	2.581	n/a	n/a	GoodResponse	0	n/a	n/a	0	2	Blank	Neutral	True
34.568	1.45	Control	1.0	n/a	Yes	2.581	n/a	5.0	GoodResponse	0	0.057	33.625	0	2	Feedback	Neutral	True
36.022	2.581	Control	1.0	n/a	Yes	2.581	n/a	n/a	GoodResponse	0	0.0	n/a	0	2	ISIslide	Neutral	True
38.63	0.25	Win2	1.0	0.0	Yes	2.82	0.03	n/a	GoodResponse	1	n/a	n/a	1	3	Cue	Win	True
38.88	3.95	Win2	1.0	0.001	Yes	2.82	0.0	n/a	GoodResponse	1	n/a	n/a	1	3	Fixation	Win	True
42.826	0.37	Win2	1.0	0.004	Yes	2.82	-0.004	3.0	GoodResponse	1	0.2	42.026	1	3	Target	Win	True
43.026	0.3	Win2	1.0	0.004	Yes	2.82	-0.004	3.0	GoodResponse	1	0.2	n/a	1	3	ButtonPress	Win	True
43.21	0.33	Win2	1.0	n/a	Yes	2.82	n/a	n/a	GoodResponse	1	n/a	n/a	1	3	Blank	Win	True
43.528	1.45	Win2	1.0	n/a	Yes	2.82	n/a	5.0	GoodResponse	1	0.034	42.562	1	3	Feedback	Win	True
44.982	2.82	Win2	1.0	n/a	Yes	2.82	n/a	n/a	GoodResponse	1	0.0	n/a	1	3	ISIslide	Win	True
47.824	0.25	Win2	1.0	0.0	Yes	3.276	0.024	n/a	GoodResponse	1	n/a	n/a	2	4	Cue	Win	True
48.075	4.0	Win2	1.0	0.0	Yes	3.276	0.001	n/a	GoodResponse	1	n/a	n/a	2	4	Fixation	Win	True
52.07	0.36	Win2	1.0	0.004	Yes	3.276	-0.004	3.0	GoodResponse	1	0.186	51.256	2	4	Target	Win	True
52.256	0.3	Win2	1.0	0.004	Yes	3.276	-0.004	3.0	GoodResponse	1	0.186	n/a	2	4	ButtonPress	Win	True
52.438	0.34	Win2	1.0	n/a	Yes	3.276	n/a	n/a	GoodResponse	1	n/a	n/a	2	4	Blank	Win	True
52.772	1.45	Win2	1.0	n/a	Yes	3.276	n/a	5.0	GoodResponse	1	0.04	51.812	2	4	Feedback	Win	True
54.226	3.276	Win2	1.0	n/a	Yes	3.276	n/a	n/a	GoodResponse	1	0.0	n/a	2	4	ISIslide	Win	True
57.52	0.25	Win2	1.0	0.0	Yes	2.78	0.02	n/a	GoodResponse	1	n/a	n/a	3	5	Cue	Win	True
57.77	4.0	Win2	1.0	0.0	Yes	2.78	0.0	n/a	GoodResponse	1	n/a	n/a	3	5	Fixation	Win	True
61.766	0.35	Win2	1.0	0.004	Yes	2.78	-0.004	3.0	GoodResponse	1	0.198	60.964	3	5	Target	Win	True
61.964	0.3	Win2	1.0	0.004	Yes	2.78	-0.004	3.0	GoodResponse	1	0.198	n/a	3	5	ButtonPress	Win	True
62.117	0.35	Win2	1.0	n/a	Yes	2.78	n/a	n/a	GoodResponse	1	n/a	n/a	3	5	Blank	Win	True
62.468	1.45	Win2	1.0	n/a	Yes	2.78	n/a	5.0	GoodResponse	1	0.031	61.499	3	5	Feedback	Win	True
63.922	2.78	Win2	1.0	n/a	Yes	2.78	n/a	n/a	GoodResponse	1	0.0	n/a	3	5	ISIslide	Win	True
66.73	0.25	Lose2	1.0	0.0	Yes	2.72	0.03	n/a	GoodResponse	0	n/a	n/a	3	6	Cue	AvoidedLoss	True
66.981	3.95	Lose2	1.0	0.0	Yes	2.72	0.001	n/a	GoodResponse	0	n/a	n/a	3	6	Fixation	AvoidedLoss	True
70.926	0.34	Lose2	1.0	0.004	Yes	2.72	-0.004	3.0	GoodResponse	0	0.188	70.114	3	6	Target	AvoidedLoss	True
71.114	0.3	Lose2	1.0	0.004	Yes	2.72	-0.004	3.0	GoodResponse	0	0.188	n/a	3	6	ButtonPress	AvoidedLoss	True
71.277	0.36	Lose2	1.0	n/a	Yes	2.72	n/a	n/a	GoodResponse	0	n/a	n/a	3	6	Blank	AvoidedLoss	True
71.628	1.45	Lose2	1.0	n/a	Yes	2.72	n/a	5.0	GoodResponse	0	0.059	70.687	3	6	Feedback	AvoidedLoss	True
73.083	2.72	Lose2	1.0	n/a	Yes	2.72	n/a	n/a	GoodResponse	0	0.0	n/a	3	6	ISIslide	AvoidedLoss	True
75.824	0.25	Lose2	1.0	0.0	Yes	4.026	0.024	n/a	GoodResponse	0	n/a	n/a	3	7	Cue	AvoidedLoss	True
76.075	4.05	Lose2	1.0	0.0	Yes	4.026	0.001	n/a	GoodResponse	0	n/a	n/a	3	7	Fixation	AvoidedLoss	True
80.12	0.33	Lose2	1.0	0.004	Yes	4.026	-0.004	3.0	GoodResponse	0	0.188	79.308	3	7	Target	AvoidedLoss	True
80.308	0.3	Lose2	1.0	0.004	Yes	4.026	-0.004	3.0	GoodResponse	0	0.188	n/a	3	7	ButtonPress	AvoidedLoss	True
80.455	0.37	Lose2	1.0	n/a	Yes	4.026	n/a	n/a	GoodResponse	0	n/a	n/a	3	7	Blank	AvoidedLoss	True
80.823	1.45	Lose2	1.0	n/a	Yes	4.026	n/a	5.0	GoodResponse	0	0.051	79.874	3	7	Feedback	AvoidedLoss	True
82.277	4.026	Lose2	1.0	n/a	Yes	4.026	n/a	n/a	GoodResponse	0	0.0	n/a	3	7	ISIslide	AvoidedLoss	True
86.322	0.25	Lose2	0.8889	0.0	No	3.028	0.022	n/a	NoResponse	-1	n/a	n/a	2	8	Cue	Loss	True
86.573	3.95	Lose2	0.8889	0.0	No	3.028	0.001	3.0	NoResponse	-1	3.837	89.41	2	8	Fixation	Loss	True
90.41	0.3	Lose2	0.8889	0.0	No	3.028	0.001	3.0	NoResponse	-1	3.837	n/a	2	8	ButtonPress	Loss	True
90.518	0.32	Lose2	0.8889	0.004	No	3.028	-0.004	n/a	NoResponse	-1	n/a	n/a	2	8	Target	Loss	True
90.852	0.38	Lose2	0.8889	n/a	No	3.028	n/a	n/a	NoResponse	-1	n/a	n/a	2	8	Blank	Loss	True
91.22	1.45	Lose2	0.8889	n/a	No	3.028	n/a	5.0	NoResponse	-1	0.029	90.249	2	8	Feedback	Loss	True
92.675	3.028	Lose2	0.8889	n/a	No	3.028	n/a	n/a	NoResponse	-1	0.0	n/a	2	8	ISIslide	Loss	True
95.717	0.25	Lose2	0.9	0.0	Yes	3.133	0.017	n/a	GoodResponse	0	n/a	n/a	2	9	Cue	AvoidedLoss	True
95.968	3.95	Lose2	0.9	0.0	Yes	3.133	0.001	n/a	GoodResponse	0	n/a	n/a	2	9	Fixation	AvoidedLoss	True
99.913	0.31	Lose2	0.9	0.004	Yes	3.133	-0.004	3.0	GoodResponse	0	0.264	99.177	2	9	Target	AvoidedLoss	True
100.177	0.3	Lose2	0.9	0.004	Yes	3.133	-0.004	3.0	GoodResponse	0	0.264	n/a	2	9	ButtonPress	AvoidedLoss	True
100.231	0.39	Lose2	0.9	n/a	Yes	3.133	n/a	n/a	GoodResponse	0	n/a	n/a	2	9	Blank	AvoidedLoss	True
100.615	1.45	Lose2	0.9	n/a	Yes	3.133	n/a	5.0	GoodResponse	0	0.009	99.624	2	9	Feedback	AvoidedLoss	True
102.069	3.133	Lose2	0.9	n/a	Yes	3.133	n/a	n/a	GoodResponse	0	0.0	n/a	2	9	ISIslide	AvoidedLoss	True
105.229	0.25	Control	0.9091	0.0	Yes	3.271	0.029	n/a	GoodResponse	0	n/a	n/a	2	10	Cue	Neutral	True
105.48	4.0	Control	0.9091	0.0	Yes	3.271	0.001	n/a	GoodResponse	0	n/a	n/a	2	10	Fixation	Neutral	True
109.475	0.3	Control	0.9091	0.004	Yes	3.271	-0.004	3.0	GoodResponse	0	0.218	108.693	2	10	Target	Neutral	True
109.693	0.3	Control	0.9091	0.004	Yes	3.271	-0.004	3.0	GoodResponse	0	0.218	n/a	2	10	ButtonPress	Neutral	True
109.776	0.4	Control	0.9091	n/a	Yes	3.271	n/a	n/a	GoodResponse	0	n/a	n/a	2	10	Blank	Neutral	True
110.177	1.45	Control	0.9091	n/a	Yes	3.271	n/a	5.0	GoodResponse	0	0.009	109.186	2	10	Feedback	Neutral	True
111.631	3.271	Control	0.9091	n/a	Yes	3.271	n/a	n/a	GoodResponse	0	0.0	n/a	2	10	ISIslide	Neutral	True
114.924	0.25	Lose2	0.9167000000000001	0.001	Yes	2.726	0.024	n/a	GoodResponse	0	n/a	n/a	2	11	Cue	AvoidedLoss	True
